iter	MAE	RMSE
0	1.261343202	1.627525471
1	1.211657571	1.565030152
2	1.16408576	1.504966034
3	1.119409554	1.447858802
4	1.076160685	1.392418159
5	1.033240171	1.339241413
6	0.9932310162	1.288566086
7	0.9547897237	1.239571412
8	0.9175195703	1.192315831
9	0.8819983701	1.146551006
10	0.8468058151	1.10245828
11	0.8137214501	1.060494122
12	0.7812839503	1.019808693
13	0.750775878	0.9806147825
14	0.7215080962	0.9429214111
15	0.6940257113	0.9071679724
16	0.6671858293	0.8725038062
17	0.641235811	0.8390046181
18	0.6158498866	0.806877208
19	0.5919991519	0.7762734222
20	0.5690560876	0.7467746328
21	0.5469498078	0.7186306174
22	0.525170255	0.6914578831
23	0.5053123167	0.6655738289
24	0.4851893464	0.6401198723
25	0.4663506447	0.6160416357
26	0.4486104439	0.5927583721
27	0.4307840714	0.5704734563
28	0.4138447941	0.5490071132
29	0.3974501118	0.5282840405
30	0.3818130938	0.5085294488
31	0.366698592	0.489309264
32	0.3523003138	0.4710011149
33	0.3383736634	0.4532865084
34	0.3254303202	0.4363073525
35	0.3130576621	0.4203094129
36	0.3010102009	0.4046859935
37	0.289103766	0.3895485082
38	0.2779657246	0.3751329801
39	0.2671681616	0.3611266818
40	0.2566328809	0.3477797744
41	0.2466037554	0.334836182
42	0.2370510365	0.3225568313
43	0.2278691841	0.3108626068
44	0.2191884716	0.2995780361
45	0.2106031355	0.2886740403
46	0.2025311263	0.2783271248
47	0.194827839	0.2683200165
48	0.187218262	0.2586295725
49	0.1799894831	0.2494285432
50	0.1729783833	0.2405910901
51	0.1662817717	0.232164141
52	0.1599236013	0.2240297412
53	0.153767859	0.2161376266
54	0.147888418	0.2085816589
55	0.1422023965	0.2014083957
56	0.1368123429	0.1945375311
57	0.131839202	0.1879704482
58	0.1268044029	0.1816812528
59	0.1219738881	0.1756444482
60	0.1174398562	0.1698781566
61	0.1130229086	0.164296852
62	0.1087858291	0.1589519724
63	0.1046906811	0.1537681888
64	0.1008419506	0.1488777651
65	0.09706060788	0.1441928703
66	0.09347967233	0.1396868553
67	0.09006221519	0.1353970108
68	0.08674238499	0.1313566984
69	0.08356996295	0.1273443291
70	0.08053974099	0.1236031914
71	0.07763269421	0.1200306741
72	0.07492707483	0.1166370603
73	0.07224171806	0.113361959
74	0.06973828909	0.110259781
75	0.06731454469	0.1073116722
76	0.06498536796	0.1045139114
77	0.06271284531	0.1018184996
78	0.06065197735	0.09927714758
79	0.05859544217	0.09677782381
80	0.05666435117	0.09446757154
81	0.054810381	0.0922921061
82	0.05300275094	0.09016533527
83	0.05132228624	0.08822770845
84	0.04974710305	0.08638082861
85	0.04825005329	0.08462011949
86	0.04680068206	0.08297581409
87	0.04537676603	0.08136143627
88	0.04402741443	0.07982834798
89	0.04276886327	0.07840740501
90	0.04164697346	0.07698472436
91	0.04052714152	0.07562488862
92	0.03944130774	0.07441264711
93	0.03845118668	0.07323810932
94	0.03741498224	0.07210523376
95	0.03648162152	0.07104932412
96	0.03558551383	0.070057222
97	0.03473608621	0.06909923143
98	0.03391638444	0.06819247185
99	0.03310363297	0.06737434138
100	0.03238680771	0.06655457806
101	0.03169626037	0.0657335129
102	0.03107091507	0.06500763231
103	0.03045871413	0.06432676836
104	0.02990160985	0.06368445864
105	0.0293395154	0.06301218954
106	0.0288392301	0.06236780685
107	0.02836153275	0.06175662938
108	0.02789086607	0.06120685098
109	0.02743911472	0.06070575276
110	0.02700595801	0.06020612448
111	0.02661553791	0.05969735318
112	0.02625629777	0.05927256717
113	0.02590164126	0.05886203697
114	0.02556750464	0.05841512575
115	0.02525740236	0.05801293656
116	0.02495745126	0.05764906959
117	0.02470064576	0.05733830473
118	0.02443725281	0.0569835879
119	0.02422421951	0.05663976874
120	0.02399643857	0.05629435956
121	0.02378749681	0.0560332424
122	0.02355804286	0.05571648519
123	0.02334944848	0.05543148035
124	0.02318733627	0.05516494677
125	0.02301138837	0.05492110875
126	0.02284571546	0.05459707441
127	0.02271773529	0.05431126082
