iter	Passed	Remaining
0	143	287383
1	234	233788
2	319	212810
3	411	205248
4	501	199988
5	591	196560
6	684	194835
7	769	191669
8	862	190896
9	935	186141
10	1016	183748
11	1095	181418
12	1174	179473
13	1257	178426
14	1332	176397
15	1419	176044
16	1503	175415
17	1578	173846
18	1645	171607
19	1724	170759
20	1808	170412
21	1890	170011
22	1958	168364
23	2042	168137
24	2128	168155
25	2202	167216
26	2274	166216
27	2358	166100
28	2445	166181
29	2518	165386
30	2603	165353
31	2687	165284
32	2769	165062
33	2847	164655
34	2927	164354
35	3003	163830
36	3078	163351
37	3152	162753
38	3237	162771
39	3327	163045
40	3403	162610
41	3476	162080
42	3553	161734
43	3633	161519
44	3706	161034
45	3792	161097
46	3879	161202
47	3973	161599
48	4065	161884
49	4157	162149
50	4247	162312
51	4330	162244
52	4401	161698
53	4480	161476
54	4561	161315
55	4651	161482
56	4739	161542
57	4813	161178
58	4902	161289
59	4979	161018
60	5064	160976
61	5147	160916
62	5221	160527
63	5299	160322
64	5376	160042
65	5451	159753
66	5531	159580
67	5612	159462
68	5685	159117
69	5768	159049
70	5842	158731
71	5922	158589
72	5999	158375
73	6083	158345
74	6165	158255
75	6245	158105
76	6328	158058
77	6411	157983
78	6497	157989
79	6577	157849
80	6658	157750
81	6749	157872
82	6835	157876
83	6908	157573
84	6988	157449
85	7078	157541
86	7168	157635
87	7246	157455
88	7327	157332
89	7399	157037
90	7481	156937
91	7561	156823
92	7622	156304
93	7706	156269
94	7780	156020
95	7866	156016
96	7936	155711
97	8016	155582
98	8097	155479
99	8165	155146
100	8256	155235
101	8337	155148
102	8418	155053
103	8504	155045
104	8568	154633
105	8657	154684
106	8743	154679
107	8827	154647
108	8908	154549
109	8994	154537
110	9073	154413
111	9155	154329
112	9243	154351
113	9313	154087
114	9388	153894
115	9464	153718
116	9541	153567
117	9615	153356
118	9705	153409
119	9783	153276
120	9854	153022
121	9934	152928
122	10017	152872
123	10097	152762
124	10189	152836
125	10276	152841
126	10344	152567
127	10404	152170
128	10484	152066
129	10562	151941
130	10643	151848
131	10721	151730
132	10801	151628
133	10883	151551
134	10960	151420
135	11047	151410
136	11127	151324
137	11200	151121
138	11279	151021
139	11357	150892
140	11432	150731
141	11500	150483
142	11575	150325
143	11662	150320
144	11740	150197
145	11804	149895
146	11877	149715
147	11965	149725
148	12047	149668
149	12130	149609
150	12220	149639
151	12308	149644
152	12379	149446
153	12454	149295
154	12531	149163
155	12612	149091
156	12682	148878
157	12766	148831
158	12850	148788
159	12911	148485
160	12990	148384
161	13077	148374
162	13151	148220
163	13228	148094
164	13311	148044
165	13386	147896
166	13466	147803
167	13542	147680
168	13628	147657
169	13711	147597
170	13783	147431
171	13848	147182
172	13909	146891
173	13981	146721
174	14059	146618
175	14143	146573
176	14213	146394
177	14295	146326
178	14368	146169
179	14441	146018
180	14518	145909
181	14604	145880
182	14678	145737
183	14760	145679
184	14843	145621
185	14930	145610
186	15007	145505
187	15076	145311
188	15159	145258
189	15239	145178
190	15323	145129
191	15393	144953
192	15452	144680
193	15537	144647
194	15625	144636
195	15705	144550
196	15788	144497
197	15862	144364
198	15936	144229
199	16012	144116
200	16101	144114
201	16184	144055
202	16265	143984
203	16344	143896
204	16418	143763
205	16490	143610
206	16563	143473
207	16637	143342
208	16714	143229
209	16787	143095
210	16859	142943
211	16934	142823
212	17008	142699
213	17103	142740
214	17183	142664
215	17269	142631
216	17348	142549
217	17429	142472
218	17507	142377
219	17586	142292
220	17659	142155
221	17740	142085
222	17818	141990
223	17890	141846
224	17965	141727
225	18055	141728
226	18136	141658
227	18218	141593
228	18303	141553
229	18384	141482
230	18464	141401
231	18536	141258
232	18614	141166
233	18697	141110
234	18764	140935
235	18833	140774
236	18907	140652
237	18996	140638
238	19087	140643
239	19164	140539
240	19252	140518
241	19318	140335
242	19389	140197
243	19463	140076
244	19532	139918
245	19609	139818
246	19694	139777
247	19785	139773
248	19864	139689
249	19946	139623
250	20024	139530
251	20106	139472
252	20186	139392
253	20269	139329
254	20338	139177
255	20415	139077
256	20489	138963
257	20573	138913
258	20666	138917
259	20744	138825
260	20825	138760
261	20912	138728
262	20997	138678
263	21078	138610
264	21159	138534
265	21243	138482
266	21331	138455
267	21408	138357
268	21490	138288
269	21568	138196
270	21638	138053
271	21713	137945
272	21788	137833
273	21854	137664
274	21925	137533
275	21993	137380
276	22073	137300
277	22148	137193
278	22228	137114
279	22297	136972
280	22377	136891
281	22453	136792
282	22527	136678
283	22598	136548
284	22679	136474
285	22760	136405
286	22834	136289
287	22907	136173
288	22973	136012
289	23067	136019
290	23148	135950
291	23226	135861
292	23300	135750
293	23388	135718
294	23473	135666
295	23540	135517
296	23613	135398
297	23685	135276
298	23768	135217
299	23841	135099
300	23926	135050
301	24008	134987
302	24088	134910
303	24185	134929
304	24274	134900
305	24342	134756
306	24419	134667
307	24489	134534
308	24573	134477
309	24652	134394
310	24740	134361
311	24821	134292
312	24901	134213
313	24975	134106
314	25072	134117
315	25150	134030
316	25232	133964
317	25312	133886
318	25397	133834
319	25471	133724
320	25554	133664
321	25617	133494
322	25704	133455
323	25784	133378
324	25858	133268
325	25944	133222
326	26025	133149
327	26110	133101
328	26183	132985
329	26261	132896
330	26345	132842
331	26429	132786
332	26514	132730
333	26592	132645
334	26657	132493
335	26739	132423
336	26834	132422
337	26913	132336
338	26997	132280
339	27080	132215
340	27156	132117
341	27240	132061
342	27330	132030
343	27405	131930
344	27486	131856
345	27566	131775
346	27642	131678
347	27723	131607
348	27796	131497
349	27875	131412
350	27948	131300
351	28029	131229
352	28104	131128
353	28188	131067
354	28263	130965
355	28329	130824
356	28405	130729
357	28476	130612
358	28561	130555
359	28633	130443
360	28712	130360
361	28779	130225
362	28846	130087
363	28907	129924
364	28972	129780
365	29021	129565
366	29100	129485
367	29171	129371
368	29242	129252
369	29306	129105
370	29385	129028
371	29459	128925
372	29538	128844
373	29633	128835
374	29704	128721
375	29791	128674
376	29870	128593
377	29942	128484
378	30013	128370
379	30081	128241
380	30147	128106
381	30227	128033
382	30284	127860
383	30364	127781
384	30449	127729
385	30534	127675
386	30616	127607
387	30700	127549
388	30782	127482
389	30869	127437
390	30952	127371
391	31040	127330
392	31111	127215
393	31204	127192
394	31287	127131
395	31374	127082
396	31455	127010
397	31536	126938
398	31620	126876
399	31695	126781
400	31772	126694
401	31847	126596
402	31928	126527
403	32005	126436
404	32077	126328
405	32151	126229
406	32228	126142
407	32301	126039
408	32384	125974
409	32454	125860
410	32534	125782
411	32618	125723
412	32695	125636
413	32767	125528
414	32846	125448
415	32923	125362
416	33001	125277
417	33081	125202
418	33165	125142
419	33243	125058
420	33319	124966
421	33389	124852
422	33458	124738
423	33532	124639
424	33606	124540
425	33696	124503
426	33779	124439
427	33858	124359
428	33936	124274
429	34004	124157
430	34078	124060
431	34166	124011
432	34240	123912
433	34313	123814
434	34396	123747
435	34482	123692
436	34566	123631
437	34636	123522
438	34701	123393
439	34783	123322
440	34862	123243
441	34936	123147
442	35025	123104
443	35111	123047
444	35190	122969
445	35266	122880
446	35346	122805
447	35437	122765
448	35525	122716
449	35599	122621
450	35672	122521
451	35749	122434
452	35826	122348
453	35911	122289
454	36002	122250
455	36080	122168
456	36160	122090
457	36230	121980
458	36292	121844
459	36366	121747
460	36435	121636
461	36520	121578
462	36601	121504
463	36687	121448
464	36772	121389
465	36859	121335
466	36945	121279
467	37034	121233
468	37118	121170
469	37191	121069
470	37262	120963
471	37329	120847
472	37404	120753
473	37485	120679
474	37576	120640
475	37650	120543
476	37735	120486
477	37801	120363
478	37887	120306
479	37969	120235
480	38047	120154
481	38127	120077
482	38213	120020
483	38292	119941
484	38380	119889
485	38463	119823
486	38551	119771
487	38626	119678
488	38707	119606
489	38767	119468
490	38850	119400
491	38935	119340
492	39014	119260
493	39093	119179
494	39170	119094
495	39248	119012
496	39334	118952
497	39413	118874
498	39486	118776
499	39563	118691
500	39642	118611
501	39719	118526
502	39795	118436
503	39872	118352
504	39958	118294
505	40048	118245
506	40128	118170
507	40197	118061
508	40277	117983
509	40355	117900
510	40429	117806
511	40498	117698
512	40577	117620
513	40654	117534
514	40735	117461
515	40809	117366
516	40875	117250
517	40954	117171
518	41032	117088
